PID TTY          TIME CMD
  11976 ?        00:00:00 kworker/2:4-events
  11985 ?        00:00:00 kworker/0:1-events
  13303 ?        00:00:00 kworker/u8:1-flush-259:0
  13763 ?        00:00:00 kworker/3:0-cgroup_destroy
  13982 ?        00:00:00 kworker/1:3-events_power_efficient
  13985 ?        00:00:00 kworker/3:1-events
  13990 ?        00:00:00 kworker/2:0
  13991 ?        00:00:00 kworker/u8:3-events_unbound
  13998 ?        00:00:01 xterm
  14000 pts/1    00:00:00 bash
  14212 ?        00:00:00 xterm
  14214 pts/2    00:00:00 bash
  14462 pts/1    00:00:14 vim
  14464 ?        00:00:04 clangd.main
  14702 ?        00:00:00 kworker/1:0-events
  14750 ?        00:00:00 xfconfd
  14823 ?        00:00:00 kworker/u8:0-events_unbound
  14830 pts/2    00:00:00 ps
